button;text
Історії;"Ми зібрали сильні, подекуди важкі, чудові історії дівчат - випускниць інтернатних закладів"
Історія Юлі;"https://drive.google.com/file/d/1VLsC0wfv2xHdzUU8hBav01WYQNixQ_nn/view?usp=sharing"
Історія Світлани;"https://drive.google.com/file/d/1u_XZ--iFjA1imTwIqy_HMkPJtO85UVo4/view?usp=sharing"
Історія Жанни;"https://drive.google.com/file/d/11ynVASJRBYJwMw5mKsU9xXMFPHXqX2S5/view?usp=sharing"
Історія Ірини;"https://drive.google.com/file/d/1dClWYXSIdxWzyljqj2eJiuhnXszUU9QF/view?usp=sharing"
Історія Домініки;"https://drive.google.com/file/d/1ryteLg1aWUMZbVHaDpxIXE-Bc8qSj4EJ/view?usp=sharing"
Тут допоможуть;"Якщо ви маєте потребу в допомозі чи хочете допомогти іншим жінкам, то можете зробити це тут: https://woman4woman.org.ua/"
