data;id;command
2021-01-12;399610581;/start
2021-01-12;399610581;команда а
2021-01-12;399610581;команда б
2021-01-12;399610581;команда б
2021-01-12;399610581;команда в
2021-01-12;399610581;команда в
2021-01-12;399610581;статистика
2021-01-12;399610581;/start
2021-01-12;399610581;команда а
2021-01-12;399610581;команда в
2021-01-12;399610581;команда в
2021-01-12;399610581;команда б
2021-01-12;399610581;команда б
2021-01-12;399610581;статистика
2021-01-12;399610581;Чи це насильство?
2021-01-12;399610581;Поради
2021-01-12;399610581;Чи це насильство?
2021-01-12;399610581;Поради
2021-01-12;399610581;Чи це насильство?
2021-01-12;399610581;Поради
2021-01-12;399610581;Юристки
2021-01-12;399610581;Психологині
2021-01-12;399610581;План безпеки
2021-01-12;399610581;Подивись
2021-01-12;399610581;Контакти
2021-01-12;399610581;Чи це насильство?
2021-01-12;399610581;Детальніше
2021-01-12;399610581;Важливо!
2021-01-12;399610581;Куди звернутися?
2021-01-12;399610581;Як?
2021-01-12;399610581;Що буде?
2021-01-12;399610581;Поради
2021-01-12;399610581;Що подивитись/почитати?
2021-01-12;399610581;Серіали
2021-01-12;399610581;Кіно
2021-01-12;399610581;Різне
2021-01-12;399610581;Хочу їсти
2021-01-12;399610581;Важливі контакти - звернись
2021-01-12;399610581;Центри планування сім`ї
2021-01-12;399610581;Важливі контакти - звернись
2021-01-12;399610581;Центри планування сім`ї
2021-01-12;399610581;Громадські організаціїї
2021-01-12;399610581;Важливі контакти - звернись
2021-01-12;399610581;Центри планування сім`ї
2021-01-12;399610581;Соціальні служби
2021-01-12;399610581;Громадські організаціїї
2021-01-12;399610581;Важливі контакти - звернись
2021-01-12;399610581;Клініки дружні до молоді
2021-01-12;399610581;Важливі контакти - звернись
2021-01-12;399610581;Клініки дружні до молоді
2021-01-12;399610581;Важливі контакти - звернись
2021-01-12;399610581;Клініки дружні до молоді
2021-01-12;399610581;Важливі контакти - звернись
2021-01-12;399610581;Клініки дружні до молоді
2021-01-12;399610581;Важливі контакти - звернись
2021-01-12;399610581;Клініки дружні до молоді
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Національна поліція України
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Національна поліція України
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Регіональні служби у справах дітей
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Гарячі лінії з питань запобігання насильства
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Дитячі гарячі лінії
2021-01-13;399610581;Регіональні служби у справах дітей
2021-01-13;399610581;Гарячі лінії з питань запобігання насильства
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Гарячі лінії з питань запобігання насильства
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Гарячі лінії з питань запобігання насильства
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Гарячі лінії з питань запобігання насильства
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Гарячі лінії з питань запобігання насильства
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Національна поліція України
2021-01-13;399610581;Важливі контакти - звернись
2021-01-13;399610581;Гарячі лінії
2021-01-13;399610581;Національна поліція України
2021-01-13;399610581;Важливі контакти - звернись
