button;text
Що подивитись/почитати?;"Вступ: Ох-ох, давай з тобою розслабимося, виділимо час для себе і щось подивимося, послухаємо, чи почитаємо. Я підібрала для тебе серіали, фільми, статті, підкасти на будь-який смак. Коли Каті немає дома, ох, що я витворяю! Дивлюся усі фільми, що й вона,  і з'їдаю усі смаколики з кухні. Приєднуйся та відволікайся від буденності! Списки будуть час-від-часу оновлюватися, тому, слідкуй, буде цікаво!"
Серіали;"«Статеве виховання» (18+) - молодіжний серіал,  у якому обговорюється багато важливих тем від сексуальної ідентичності до підліткової вагітності.

«Енн» - історія про тринадцятирічну дівчину, яка вимушена жити в притулках, через те, що її батьки загинули, коли вона була ще маленькою. Зараз дівчинка мріє знайти добрих та люблячих батьків. Її вже кілька разів брали в родини, але вона там не знаходила те, що шукала.

«Я можу вас знищити» (18+) - розповідає історію молодої письменниці Арабелли. Серіал заснований на реальних подіях сценаристки  Міхаель Коел, серіал досліджує наслідки сексуального насильства, а також міркує про те, як перетинаються теми раси, класу і гендеру в сучасному західному суспільстві.

«Хороший лікар» -  історія про молодого  лікаря Шона з діагнозом аутизм і синдром Cаванта, який наділений унікальними здібностями та мріє про  медичну кар'єру, він вирішується на переїзд у велике місто, щоб влаштуватися в хірургічне відділення престижної лікарні. Незважаючи на складності в комунікації, внутрішні страхи, скептицизм та забобони колег, Шон потрапляє в команду і готовий працювати не покладаючи рук, щоб довести всім, що його незвичайний дар допоможе врятувати чимало життів.

«Неортодоксальна» (16+) - історія про 19-річну дівчину з Брукліна, яка була вихована в ультраортодоксальній громаді, де єдина місія жінки — народження дітей. Будучи рішуче налаштованою втекти з ненависної громади, щоб реалізувати заповітні мрії, Есті таємно відправляється в Берлін та справляється з різними життєвими проблемами, які з’являються їй на шляху.

Більше серіалів ти можеш знайти тут: https://bit.ua/2020/02/netflix-netflix/ і обрати, який тобі до вподоби."
Кіно;"«Маленькі жінки» - фільм про чотирьох зовсім не схожих одна на одну сестер  Мег, Еммі, Бет і Джо. Одна з них мріє про театральну кар'єру акторки, інша обожнює малювання, третя ж без розуму від музики. Але найбільше серед них вирізняється Джо. Вона терпіти не може стереотипи, що доля жінки — вдало вийти заміж і завжди бути поруч зі своїм чоловіком і йде до своєї мети: зробити так, щоб її п'єси ставили на великих театральних сценах.

«Енола Холмс» - молодша сестра всесвітньо відомого детектива Шерлока (Генрі Кавілл), яка виросла в заміському маєтку з матір'ю. Замість вишивання і готування вона навчала дочку стрільбі з лука і джиу-джитсу, а одного разу просто без сліду зникла, залишивши лише підказки до своїм місцезнаходженням. Що було далі, дивіться у фільмі.

«Суфражистка» - головна героїня зіштовхується зі складними життєвими обставинами: залежність від чоловіка-тирана, тяжка фізична праця, відсутність прав в суспільстві. Але все починає змінюватися, коли дівчина зустрічає главу руху суфражисток і стає частиною цього руху.

«Тім Талер і проданий сміх» - головний герой втрачає можливість радіти будь-чому, що з’являється в його житті. Він починає розуміти, що не у грошах щастя, а щира усмішка набагато цінніша матеріальних благ.

«Диво» - фільм про хлопчика з генетичною хворобою, який уперше йде до школи. Фільм про внутрішню красу й неймовірну силу героя, який не здається та бореться із соціумом, про віру та підтримку сім’ї. Диво – це бути добрим у злому світі.


Більше фільмів можеш знайти тут: https://moemisto.ua/vn/blog/35-kraschih-motivuyuchih-filmiv-na-realnih-podiyah-814.html"
Різне;"Завжди класно розумітися у різних темах, дізнаватися щось нове, аби обговорити з товаришкою/товаришем або просто, щоб самостійно розібратися у питаннях, що цікавлять, а спитати у когось ніяково. Тому, я підібрала ресурси, яким сама довіряю.

Звичайно, кожна має свій смак та різні думки щодо того чи іншого питання. Але, чи то не прикольно дізнаватися думку інших, дискутувати, самостійно аналізувати інформацію та розширяти горизонти?

Про місто, людей, події можеш почитати тут: https://www.the-village.com.ua/news

Тут зібрані різноманітні статті на абсолютно різні теми: життя, здоров’я, кар’єра, культура.

Такий собі безпечний простір для дівчат: https://www.wonderzine.com.ua/

Обговорення про секс, сексуальність без сорому: - https://soundcloud.com/the_village_ukraine/sets/sex-podcast

Це місце освіти, пізнання, самореалізації, спілкування та обміну: https://genderindetail.org.ua/about/

Кампанія проти проявів сексизму в ЗМІ щодо жінок: https://povaha.org.ua/pro-sajt/

Про права людини, фемінізм, ґендер, секс і сексуальность, наркополітику, психологічне здоров`я та інклюзивність: https://soundcloud.com/updatecomua

Як допомогти людині, яка зіткнулася з булінгом у школі: https://soundcloud.com/updatecomua/yak-dopomogti-lyudin-yaka-ztiknulas-z-bulngom-v-shkol

Якщо маєш Інстаграм раджу підписатися на:
Права людини: https://www.instagram.com/femworkshop/  , https://www.instagram.com/gender.z/

Рух за ґендерну рівність: https://www.instagram.com/heforshe_ukraine/

Історії активісток на англійській мові: https://www.instagram.com/femkyiv/

Журнал для жінок про все, що цікавить або “соромно” запитати: https://www.instagram.com/wonderzine.ua/

Відвертий жіночий блог: https://www.instagram.com/thedevochki/

Відеоролики:
1. Щодо згоди на секс: https://www.youtube.com/watch?v=pVIs7h95GFQ
2. Щодо згоди для дітей: https://www.youtube.com/watch?v=89IJADyjlmQ&t=7s

Також, багато важливої інформації ти можеш знайти тут: https://vsenedlyadomu.com.ua/"

