button;text
Служба розшуку дітей;"116000 (безкоштовно з мобільних телефонів)"
Національна дитяча гаряча лінія;"8 800 500 225 (зі стаціонарних телефонів) та або 116 111 (з мобільних телефонів) безкоштовно"
Допомога у разі булінгу;"116 000"
Захист прав дітей та усиновлення;"(044) 289-56-29"
